out    time
0       0
0   10000
0   20000
0   30000
0   40000
0   50000
0   60000
1   70000
1   80000
0   90000
0   100000
1   110000
1   120000
0   130000
0   140000
1   150000
1   160000
1   170000
0   180000
0   190000
0   200000
1   210000
1   220000
1   230000
0   240000
0   250000
0   260000
0   270000
0   280000
0   290000
0   300000
0   310000
0   320000
0   330000
0   340000
1   350000
0   360000
0   370000
0   380000
1   390000
1   400000
1   410000
1   420000
0   430000
0   440000
0   450000
0   460000
1   470000
1   480000
1   490000
1   500000
0   510000
0   520000
0   530000
0   540000
0   550000
0   560000
0   570000
0   580000
0   590000
0   600000
1   610000
1   620000
1   630000
1   640000
0   650000
0   660000
0   670000
0   680000
1   690000
1   700000
1   710000
1   720000
0   730000
0   740000
0   750000
0   760000
1   770000
1   780000
1   790000
1   800000
